type,difficulty,name,description,prep_time,cook_time,cuisine_name,ingredient_name,portions,image_id
meal,2,Kurt,"A traditional Kazakh snack made from dried cheese curd, formed into balls and left to harden, noted for its salty and sour taste. It's a popular snack among nomadic cultures due to its long shelf life.",30,0,Kazakh,whole milk,1,0
meal,2,Nyama Choma,"Nyama Choma, which means 'grilled meat' in Swahili, is a beloved Kenyan barbecue dish typically made with goat meat, though beef or chicken can also be used. It is often enjoyed at social gatherings and served with kachumbari and Ugali.",30,60,Kenyan,goat,1,0
meal,1,Sukuma Wiki,"Sukuma Wiki, meaning 'to push the week,' is a nutritious and economical Kenyan dish made with collard greens, often cooked with onions and spices, and is a perfect complement to Ugali.",10,20,Kenyan,collard greens,1,0
meal,1,Ugali,"A staple dish in Kenyan cuisine, Ugali is a simple cornmeal porridge, firm enough to be eaten by hand and used to scoop up meat, vegetables, or sauces.",5,15,Kenyan,cornmeal,1,0
meal,3,Bibimbap,"A popular Korean dish that means 'mixed rice.' It's served as a bowl of warm white rice topped with sautéed and seasoned vegetables, chili pepper paste (gochujang), a fried egg, and sliced meat (usually beef).",30,20,Korean,rice,1,0
dessert,2,Hoddeok,"A popular Korean street food, these sweet pancakes are filled with a brown sugar, cinnamon, and nut mixture, typically eaten during the winter.",60,10,Korean,unbleached flour,1,0
meal,2,Kimchi Jjigae,"A hearty, spicy stew made with kimchi, tofu, pork (or seafood), and various seasonings, typically served boiling hot.",15,25,Korean,kimchi,1,0
meal,5,Chiles en Nogada,"A renowned Mexican dish featuring poblano chiles stuffed with picadillo (a mixture of meat, fruits, and spices), topped with a walnut-based cream sauce and pomegranate seeds.",45,30,Mexican,red chili,1,0
dessert,3,Flan,"A creamy caramel-topped custard dessert, known for its rich texture and vanilla flavor, a staple in Mexican cuisine.",15,45,Mexican,sugar,1,0
meal,4,Tacos al Pastor,"A popular Mexican street food featuring marinated pork cooked on a vertical spit, served on small tortillas with pineapple, onions, and cilantro.",30,90,Mexican,pork shoulder,1,0
dessert,3,Baklava,"A rich, sweet pastry made of layers of filo filled with chopped nuts and sweetened with syrup or honey.",30,50,Turkish,phyllo dough,1,0
meal,3,İskender Kebab,A famous Turkish dish consisting of thinly cut grilled lamb basted with hot tomato sauce over pieces of pita bread and generously slathered with melted sheep butter and yogurt.,20,10,Turkish,lamb,1,0
meal,2,Lahmacun,"Often dubbed 'Turkish Pizza,' Lahmacun is a round, thin piece of dough topped with minced meat (most commonly beef or lamb), vegetables, herbs, and spices, baked until crispy.",30,5,Turkish,beef,1,0
meal,3,Gutap,"These are savory fried pies filled with a mixture of finely chopped herbs, spinach, and sometimes an addition of eggs or cheese, making them a popular snack or light meal.",30,30,Turkmen,flour,1,0
meal,3,Palaw,"A central dish in Turkmen cuisine, Palaw (or pilaf) is a rice dish cooked with pieces of meat, usually lamb, carrots, onions, and a generous amount of Turkmen saffron.",20,60,Turkmen,lamb,1,0
meal,2,Shurpa,"A hearty and warming soup traditionally made with lamb and a variety of root vegetables, enriched with fresh herbs and spices, making it a staple during Turkmen winters.",15,120,Turkmen,lamb,1,0
dessert,2,Bara Brith,"A traditional Welsh tea bread, Bara Brith translates to 'speckled bread' due to the rich mixture of dried fruits and spices within. It is customarily served sliced and buttered.",15,90,Welsh,dried peach,1,0
meal,2,Cawl,"Cawl is a hearty Welsh stew made of lamb and root vegetables, embodying a rich mix of local produce and traditional cooking. It's a comforting dish, especially popular during colder months.",20,180,Welsh,lamb shoulder,1,0
meal,2,Welsh Rarebit,"A savory dish made from a deliciously rich cheese sauce, typically served hot over toasted bread. This classic Welsh dish is often enhanced with beer, mustard, and Worcestershire sauce for added flavor.",10,10,Welsh,butter,1,0
