"episode_id","episode_year","recipe_name","recipe_cuisine_name","chef_id"
2,2021,"Crème Brûlée","French",96
2,2021,"Macaroni and Cheese","American",56
3,2021,"Beshbarmak","Kazakh",12
3,2021,"Crème Brûlée","French",22
3,2021,"Kavarma","Bulgarian",45
3,2021,"Black Forest Cake","German",50
3,2021,"Shurpa","Turkmen",68
3,2021,"Mango Lassi","Indian",55
3,2021,"İskender Kebab","Turkish",77
3,2021,"Bibimbap","Korean",25
3,2021,"Ugali","Kenyan",8
3,2021,"Macaroni and Cheese","American",60
4,2021,"Clam Chowder","American",28
4,2021,"French Onion Soup","French",91
4,2021,"Pretzels","German",88
4,2021,"Shëndetli","Albanian",35
4,2021,"Greek Salad (Horiatiki)","Greek",26
4,2021,"Mango Lassi","Indian",16
4,2021,"Shurpa","Turkmen",4
4,2021,"Lahmacun","Turkish",67
4,2021,"Chiles en Nogada","Mexican",69
4,2021,"Sukuma Wiki","Kenyan",5
5,2021,"Chiles en Nogada","Mexican",43
5,2021,"Pretzels","German",96
5,2021,"Moussaka","Greek",23
5,2021,"Osso Buco","Italian",32
5,2021,"Kimchi Jjigae","Korean",22
5,2021,"Coq au Vin","French",92
5,2021,"Kavarma","Bulgarian",45
5,2021,"Kitfo","Ethiopian",40
5,2021,"Ghapama","Armenian",19
5,2021,"Shurpa","Turkmen",66
6,2021,"Moussaka","Greek",26
6,2021,"Pelmeni","Russian",31
6,2021,"Mekitsa","Bulgarian",16
6,2021,"Beshbarmak","Kazakh",12
6,2021,"Ugali","Kenyan",8
6,2021,"French Onion Soup","French",22
6,2021,"Chiles en Nogada","Mexican",43
6,2021,"Hoddeok","Korean",25
6,2021,"Chicken Biryani","Indian",62
6,2021,"Kitfo","Ethiopian",40
7,2021,"Beshbarmak","Kazakh",57
7,2021,"Baklava","Turkish",77
7,2021,"Injera","Ethiopian",17
7,2021,"Gutap","Turkmen",59
7,2021,"Chiles en Nogada","Mexican",94
7,2021,"Bibimbap","Korean",74
7,2021,"Chocolate Chip Cookies","American",64
7,2021,"Tarator","Bulgarian",16
7,2021,"Tiramisu","Italian",11
7,2021,"Matcha Ice Cream","Japanese",3
8,2021,"Mango Lassi","Indian",84
8,2021,"Garash Cake","Bulgarian",94
8,2021,"Barbecue Ribs","American",99
8,2021,"Baklava","Greek",1
8,2021,"Injera","Ethiopian",17
8,2021,"Welsh Rarebit","Welsh",27
8,2021,"Spaghetti Carbonara","Italian",49
8,2021,"Pretzels","German",100
8,2021,"Shurpa","Turkmen",73
8,2021,"Flan","Mexican",48
9,2021,"Moussaka","Greek",1
9,2021,"Ugali","Kenyan",81
9,2021,"Mekitsa","Bulgarian",26
9,2021,"Borscht","Russian",37
9,2021,"Kitfo","Ethiopian",22
9,2021,"Hoddeok","Korean",42
9,2021,"Black Forest Cake","German",100
9,2021,"Bara Brith","Welsh",28
9,2021,"Ghapama","Armenian",51
9,2021,"Kazy","Kazakh",57
10,2021,"Coq au Vin","French",4
10,2021,"Sarmi","Bulgarian",94
10,2021,"Tiramisu","Italian",17
10,2021,"Cheeseburger","American",64
10,2021,"Ghapama","Armenian",89
10,2021,"Mango Lassi","Indian",84
10,2021,"Kazy","Kazakh",52
10,2021,"Nyama Choma","Kenyan",90
10,2021,"Baklava","Turkish",71
10,2021,"Egg Drop Soup","Chinese",44
1,2022,"Harissa","Armenian",89
1,2022,"Bara Brith","Welsh",85
1,2022,"French Onion Soup","French",22
1,2022,"Pryaniki","Russian",6
1,2022,"Bulgarian Cheese Toast","Bulgarian",26
1,2022,"Bibimbap","Korean",74
1,2022,"Beshbarmak","Kazakh",52
1,2022,"Egg Drop Soup","Chinese",95
1,2022,"Chiles en Nogada","Mexican",44
1,2022,"İskender Kebab","Turkish",2
2,2022,"Tavë Kosi","Albanian",33
2,2022,"Kadaif","Bulgarian",26
2,2022,"Crème Brûlée","French",91
2,2022,"Chicken Biryani","Indian",62
2,2022,"Greek Salad (Horiatiki)","Greek",97
2,2022,"Harissa","Armenian",30
2,2022,"Tacos al Pastor","Mexican",75
2,2022,"Kurt","Kazakh",52
2,2022,"Ramen","Japanese",46
2,2022,"Beef and Broccoli","Chinese",72
3,2022,"Ramen","Japanese",58
3,2022,"Palaw","Turkmen",57
3,2022,"Osso Buco","Italian",83
3,2022,"Sukuma Wiki","Kenyan",54
3,2022,"Injera","Ethiopian",27
3,2022,"Black Forest Cake","German",15
3,2022,"Beshbarmak","Kazakh",12
3,2022,"Mango Lassi","Indian",84
3,2022,"Chiles en Nogada","Mexican",16
3,2022,"Zefir","Russian",34
4,2022,"Osso Buco","Italian",32
4,2022,"Chiles en Nogada","Mexican",55
4,2022,"Speca të mbushur","Albanian",85
4,2022,"Baklava","Turkish",77
4,2022,"Kadaif","Bulgarian",45
4,2022,"Bara Brith","Welsh",84
4,2022,"Sukuma Wiki","Kenyan",48
4,2022,"Ramen","Japanese",46
4,2022,"Lahmajoun","Armenian",91
4,2022,"Palak Paneer","Indian",61
5,2022,"Lahmajoun","Armenian",19
5,2022,"Sushi Rolls (Maki Sushi)","Japanese",49
5,2022,"Chiles en Nogada","Mexican",42
5,2022,"Pretzels","German",88
5,2022,"Kitfo","Ethiopian",78
5,2022,"Shëndetli","Albanian",33
5,2022,"Lahmacun","Turkish",61
5,2022,"Beshbarmak","Kazakh",12
5,2022,"Medovik","Russian",9
5,2022,"Kung Pao Chicken","Chinese",82
6,2022,"Hoddeok","Korean",25
6,2022,"Chicken Biryani","Indian",16
6,2022,"Coq au Vin","French",22
6,2022,"Chiles en Nogada","Mexican",79
6,2022,"Spaghetti Carbonara","Italian",14
6,2022,"Zefir","Russian",2
6,2022,"Gutap","Turkmen",57
6,2022,"Bara Brith","Welsh",85
6,2022,"Egg Drop Soup","Chinese",95
6,2022,"Garash Cake","Bulgarian",93
7,2022,"Moussaka","Greek",1
7,2022,"Baklava","Turkish",67
7,2022,"Shurpa","Turkmen",59
7,2022,"Chicken Biryani","Indian",18
7,2022,"Borscht","Russian",31
7,2022,"Hoddeok","Korean",83
7,2022,"Doro Wat","Ethiopian",40
7,2022,"Tiramisu","Italian",49
7,2022,"Ramen","Japanese",46
7,2022,"Tarator","Bulgarian",26
8,2022,"Kurt","Kazakh",57
8,2022,"Bara Brith","Welsh",33
8,2022,"Coq au Vin","French",96
8,2022,"Baklava","Greek",50
8,2022,"Injera","Ethiopian",78
8,2022,"Ugali","Kenyan",99
8,2022,"Shopska Salata","Bulgarian",29
8,2022,"Kimchi Jjigae","Korean",25
8,2022,"Macaroni and Cheese","American",56
8,2022,"Egg Drop Soup","Chinese",59
9,2022,"Fried Chicken","American",50
9,2022,"Spaghetti Carbonara","Italian",32
9,2022,"Kitfo","Ethiopian",87
9,2022,"Bibimbap","Korean",74
9,2022,"Bara Brith","Welsh",85
9,2022,"Speca të mbushur","Albanian",23
9,2022,"Greek Salad (Horiatiki)","Greek",26
9,2022,"Harissa","Armenian",51
9,2022,"Beshbarmak","Kazakh",1
9,2022,"Tacos al Pastor","Mexican",98
10,2022,"Jani me fasule","Albanian",83
10,2022,"Kitfo","Ethiopian",17
10,2022,"Pretzels","German",15
10,2022,"Sukuma Wiki","Kenyan",77
10,2022,"Shurpa","Turkmen",57
10,2022,"Kimchi Jjigae","Korean",60
10,2022,"Ghapama","Armenian",41
10,2022,"Osso Buco","Italian",61
10,2022,"İskender Kebab","Turkish",68
10,2022,"Pryaniki","Russian",87
1,2023,"Harissa","Armenian",89
1,2023,"Shurpa","Turkmen",62
1,2023,"Egg Drop Soup","Chinese",72
1,2023,"Ugali","Kenyan",77
1,2023,"Kazy","Kazakh",80
1,2023,"Kitfo","Ethiopian",87
1,2023,"Pancakes","American",28
1,2023,"Flan","Mexican",70
1,2023,"Mango Lassi","Indian",84
1,2023,"Pretzels","German",50
2,2023,"Mango Lassi","Indian",61
2,2023,"Matcha Ice Cream","Japanese",31
2,2023,"Hoddeok","Korean",22
2,2023,"Qifqi","Albanian",84
2,2023,"Baklava","Greek",93
2,2023,"Clam Chowder","American",50
2,2023,"Kurt","Kazakh",52
2,2023,"Garash Cake","Bulgarian",53
2,2023,"Shchi","Russian",2
2,2023,"Ghapama","Armenian",92
3,2023,"Cawl","Welsh",27
3,2023,"Sauerbraten","German",15
3,2023,"Palaw","Turkmen",73
3,2023,"Ghapama","Armenian",41
3,2023,"Crème Brûlée","French",4
3,2023,"Bulgarian Cheese Toast","Bulgarian",55
3,2023,"Doro Wat","Ethiopian",40
3,2023,"Matcha Ice Cream","Japanese",92
3,2023,"Olivier Salad","Russian",97
3,2023,"Kurt","Kazakh",1
4,2023,"Crème Brûlée","French",22
4,2023,"Tacos al Pastor","Mexican",69
4,2023,"Baklava","Turkish",2
4,2023,"Ugali","Kenyan",54
4,2023,"Beshbarmak","Kazakh",52
4,2023,"Lahmajoun","Armenian",30
4,2023,"Tarator","Bulgarian",53
4,2023,"Black Forest Cake","German",56
4,2023,"Moussaka","Greek",65
4,2023,"Gutap","Turkmen",4
5,2023,"Baklava","Turkish",68
5,2023,"Baklava","Greek",93
5,2023,"Coq au Vin","French",22
5,2023,"Bibimbap","Korean",42
5,2023,"Palaw","Turkmen",90
5,2023,"Jani me fasule","Albanian",48
5,2023,"Pryaniki","Russian",31
5,2023,"Harissa","Armenian",87
5,2023,"Pretzels","German",88
5,2023,"Palak Paneer","Indian",55
6,2023,"Baklava","Greek",25
6,2023,"İskender Kebab","Turkish",89
6,2023,"Ramen","Japanese",68
6,2023,"Bulgarian Cheese Toast","Bulgarian",93
6,2023,"Doro Wat","Ethiopian",22
6,2023,"Ugali","Kenyan",81
6,2023,"Harissa","Armenian",92
6,2023,"Pretzels","German",15
6,2023,"Palak Paneer","Indian",18
6,2023,"Spaghetti Carbonara","Italian",32
7,2023,"Bibimbap","Korean",66
7,2023,"Flan","Mexican",69
7,2023,"Borscht","Russian",67
7,2023,"Greek Salad (Horiatiki)","Greek",1
7,2023,"Black Forest Cake","German",15
7,2023,"Sushi Rolls (Maki Sushi)","Japanese",92
7,2023,"Mango Lassi","Indian",84
7,2023,"Beshbarmak","Kazakh",12
7,2023,"Garash Cake","Bulgarian",26
7,2023,"Nyama Choma","Kenyan",41
8,2023,"Sarmi","Bulgarian",29
8,2023,"Kazy","Kazakh",80
8,2023,"Mango Lassi","Indian",18
8,2023,"Tacos al Pastor","Mexican",89
8,2023,"Nyama Choma","Kenyan",90
8,2023,"French Onion Soup","French",22
8,2023,"Injera","Ethiopian",27
8,2023,"Palaw","Turkmen",10
8,2023,"Lahmacun","Turkish",42
8,2023,"Kimchi Jjigae","Korean",60
9,2023,"Beshbarmak","Kazakh",52
9,2023,"Crème Brûlée","French",92
9,2023,"Moussaka","Greek",20
9,2023,"Lahmacun","Turkish",89
9,2023,"Ramen","Japanese",31
9,2023,"Doro Wat","Ethiopian",67
9,2023,"Ugali","Kenyan",79
9,2023,"Shurpa","Turkmen",73
9,2023,"Ghapama","Armenian",41
9,2023,"Cheeseburger","American",17
10,2023,"Palak Paneer","Indian",84
10,2023,"Shëndetli","Albanian",85
10,2023,"Chiles en Nogada","Mexican",21
10,2023,"Ramen","Japanese",46
10,2023,"Macaroni and Cheese","American",60
10,2023,"Spaghetti Carbonara","Italian",14
10,2023,"Lahmacun","Turkish",71
10,2023,"Kimchi Jjigae","Korean",7
10,2023,"Gutap","Turkmen",62
10,2023,"Cawl","Welsh",34
1,2024,"Coq au Vin","French",92
1,2024,"Kazy","Kazakh",57
1,2024,"Baklava","Turkish",77
1,2024,"Syrniki","Russian",58
1,2024,"Tavë Kosi","Albanian",41
1,2024,"Bara Brith","Welsh",85
1,2024,"Shurpa","Turkmen",73
1,2024,"Chicken Biryani","Indian",16
1,2024,"Spaghetti Carbonara","Italian",61
1,2024,"Moussaka","Greek",97
2,2024,"Black Forest Cake","German",50
2,2024,"Egg Drop Soup","Chinese",95
2,2024,"Baklava","Turkish",71
2,2024,"Harissa","Armenian",92
2,2024,"Jani me fasule","Albanian",83
2,2024,"Injera","Ethiopian",40
2,2024,"Kazy","Kazakh",80
2,2024,"Hoddeok","Korean",74
2,2024,"Tacos al Pastor","Mexican",69
2,2024,"Chicken Biryani","Indian",62
3,2024,"Coq au Vin","French",4
3,2024,"Palak Paneer","Indian",27
3,2024,"Ghapama","Armenian",89
3,2024,"Pryaniki","Russian",97
3,2024,"Black Forest Cake","German",56
3,2024,"Egg Drop Soup","Chinese",95
3,2024,"Pancakes","American",60
3,2024,"Greek Salad (Horiatiki)","Greek",26
3,2024,"Shurpa","Turkmen",73
3,2024,"Chiles en Nogada","Mexican",63
4,2024,"Doro Wat","Ethiopian",78
4,2024,"French Onion Soup","French",91
4,2024,"Baklava","Greek",26
4,2024,"Harissa","Armenian",19
4,2024,"Kazy","Kazakh",52
4,2024,"Hoddeok","Korean",83
4,2024,"Shurpa","Turkmen",90
4,2024,"Ramen","Japanese",58
4,2024,"Egg Drop Soup","Chinese",13
4,2024,"Macaroni and Cheese","American",56
5,2024,"Mango Lassi","Indian",84
5,2024,"Kadaif","Bulgarian",53
5,2024,"Speca të mbushur","Albanian",48
5,2024,"French Onion Soup","French",91
5,2024,"İskender Kebab","Turkish",28
5,2024,"Kung Pao Chicken","Chinese",1
5,2024,"Gutap","Turkmen",68
5,2024,"Cawl","Welsh",85
5,2024,"Kimchi Jjigae","Korean",42
5,2024,"Sushi Rolls (Maki Sushi)","Japanese",3
6,2024,"Ramen","Japanese",31
6,2024,"Welsh Rarebit","Welsh",85
6,2024,"Kung Pao Chicken","Chinese",3
6,2024,"Nyama Choma","Kenyan",90
6,2024,"Fërgesë","Albanian",84
6,2024,"Coq au Vin","French",20
6,2024,"Pretzels","German",100
6,2024,"Greek Salad (Horiatiki)","Greek",39
6,2024,"Gutap","Turkmen",62
6,2024,"Bulgarian Cheese Toast","Bulgarian",45
7,2024,"Banitsa","Bulgarian",45
7,2024,"Shurpa","Turkmen",59
7,2024,"French Onion Soup","French",92
7,2024,"Kasha","Russian",2
7,2024,"Kung Pao Chicken","Chinese",72
7,2024,"Beshbarmak","Kazakh",57
7,2024,"Flan","Mexican",48
7,2024,"Lahmacun","Turkish",76
7,2024,"Clam Chowder","American",56
7,2024,"Bibimbap","Korean",25
8,2024,"Welsh Rarebit","Welsh",34
8,2024,"Black Forest Cake","German",88
8,2024,"Brownies","American",60
8,2024,"Kitfo","Ethiopian",27
8,2024,"Shchi","Russian",47
8,2024,"Speca të mbushur","Albanian",84
8,2024,"Tiramisu","Italian",61
8,2024,"Kavarma","Bulgarian",45
8,2024,"Sukuma Wiki","Kenyan",8
8,2024,"Harissa","Armenian",39
9,2024,"Pretzels","German",24
9,2024,"Lahmacun","Turkish",89
9,2024,"Shëndetli","Albanian",33
9,2024,"Egg Drop Soup","Chinese",44
9,2024,"Medovik","Russian",6
9,2024,"French Onion Soup","French",22
9,2024,"Flan","Mexican",75
9,2024,"Moussaka","Greek",97
9,2024,"Sushi Rolls (Maki Sushi)","Japanese",71
9,2024,"Cawl","Welsh",28
10,2024,"Welsh Rarebit","Welsh",84
10,2024,"Shurpa","Turkmen",66
10,2024,"Sauerbraten","German",24
10,2024,"Kurt","Kazakh",57
10,2024,"Flan","Mexican",44
10,2024,"Pryaniki","Russian",58
10,2024,"Kimchi Jjigae","Korean",22
10,2024,"Beef and Broccoli","Chinese",3
10,2024,"Harissa","Armenian",41
10,2024,"Macaroni and Cheese","American",28
