number,description,recipe_name,recipe_cuisine_name
3,"Pour a hot syrup made of sugar, water, and lemon juice over the baked kadaif.",Kadaif,Bulgarian
4,Let it cool and absorb the syrup before serving.,Kadaif,Bulgarian
1,Toast bread slices lightly.,Bulgarian Cheese Toast,Bulgarian
2,Spread a thick layer of grated Bulgarian cheese on each slice.,Bulgarian Cheese Toast,Bulgarian
3,Broil in the oven until the cheese is bubbly and golden.,Bulgarian Cheese Toast,Bulgarian
4,Optionally top with a fried egg and serve immediately.,Bulgarian Cheese Toast,Bulgarian
1,Prepare walnut sponge layers by beating egg whites with sugar and folding in ground walnuts and flour.,Garash Cake,Bulgarian
2,Bake each layer separately until set.,Garash Cake,Bulgarian
3,Prepare chocolate ganache with heavy cream and dark chocolate.,Garash Cake,Bulgarian
4,"Assemble the cake by layering sponge and ganache, finishing with a ganache topping.",Garash Cake,Bulgarian
5,Chill in the fridge to set before serving.,Garash Cake,Bulgarian
1,Prepare cabbage leaves by boiling until tender.,Sarmi,Bulgarian
2,"Mix minced meat with rice, onions, and spices.",Sarmi,Bulgarian
3,Place a spoonful of the filling on each leaf and roll tightly.,Sarmi,Bulgarian
4,"Arrange the rolls in a pot, cover with tomato sauce and water.",Sarmi,Bulgarian
5,Simmer on low heat until the meat and rice are fully cooked.,Sarmi,Bulgarian
6,"Serve hot, garnished with fresh herbs.",Sarmi,Bulgarian
1,Slice beef into thin strips.,Beef Stroganoff,Russian
2,Season beef with salt and pepper.,Beef Stroganoff,Russian
3,Heat oil in a pan over medium heat and sauté onions until translucent.,Beef Stroganoff,Russian
4,Add beef to the pan and brown.,Beef Stroganoff,Russian
5,Reduce heat and add mustard and beef broth. Simmer for 10 minutes.,Beef Stroganoff,Russian
6,Stir in sour cream and cook for another 5 minutes without boiling.,Beef Stroganoff,Russian
7,Serve hot over noodles or rice.,Beef Stroganoff,Russian
1,"Mix honey, sugar, and eggs in a bowl.",Medovik,Russian
2,Add baking soda and melt mixture over steam until it increases in volume.,Medovik,Russian
3,Mix flour into the warm honey mixture to form dough.,Medovik,Russian
4,"Divide the dough into 8 parts, roll out each and bake for 5 minutes at 350°F.",Medovik,Russian
5,Whisk sour cream with sugar and vanilla.,Medovik,Russian
6,Spread cream between each cooled cake layer.,Medovik,Russian
7,Coat the outside with leftover cream and crumble a baked dough layer on top.,Medovik,Russian
8,Chill in fridge overnight before serving.,Medovik,Russian
1,Peel and chop all vegetables.,Borscht,Russian
2,Sauté onions and carrots in a pot.,Borscht,Russian
3,Add beets and continue to sauté for a few minutes.,Borscht,Russian
4,"Add water, cabbage, and potatoes and bring to a boil.",Borscht,Russian
5,Simmer until all vegetables are tender.,Borscht,Russian
6,"Add vinegar, sugar, and salt to taste.",Borscht,Russian
7,Serve with sour cream and fresh dill.,Borscht,Russian
1,"Mix flour, eggs, water, and salt to form a dough.",Pelmeni,Russian
2,Roll dough thin and cut into circles.,Pelmeni,Russian
3,Place a small amount of meat filling in the center of each circle.,Pelmeni,Russian
4,Fold dough over and seal edges to form a dumpling.,Pelmeni,Russian
5,Boil dumplings in salted water until they float to the surface.,Pelmeni,Russian
6,Serve hot with melted butter or sour cream.,Pelmeni,Russian
1,"Mix tvorog, eggs, flour, sugar, and vanilla.",Syrniki,Russian
2,Form small patties from the mixture.,Syrniki,Russian
3,"Fry patties in a hot, oiled pan until golden brown on both sides.",Syrniki,Russian
4,Serve hot with sour cream or jam.,Syrniki,Russian
1,Rinse buckwheat groats under cold water.,Kasha,Russian
2,Bring water to a boil and add groats.,Kasha,Russian
3,"Reduce heat to low, cover, and simmer until groats are tender and water is absorbed.",Kasha,Russian
4,Serve hot with milk or as a side dish to meat.,Kasha,Russian
1,"Mix honey, sugar, and spices in a bowl.",Pryaniki,Russian
2,"Add eggs and melted butter, then blend in flour to form a stiff dough.",Pryaniki,Russian
3,Roll out dough and cut into shapes.,Pryaniki,Russian
4,Bake at 350°F for 15-20 minutes.,Pryaniki,Russian
5,Mix powdered sugar with lemon juice to make icing.,Pryaniki,Russian
6,Glaze cookies after they have cooled.,Pryaniki,Russian
1,Puree apples and mix with sugar.,Zefir,Russian
2,Heat mixture until sugar dissolves.,Zefir,Russian
3,Whip egg whites to stiff peaks.,Zefir,Russian
4,Gradually combine hot fruit mixture with egg whites.,Zefir,Russian
5,Pipe onto parchment paper into desired shapes.,Zefir,Russian
6,Let dry at room temperature for 12 hours.,Zefir,Russian
1,"Boil potatoes, carrots, and eggs until cooked.",Olivier Salad,Russian
2,Dice all cooked ingredients and pickles.,Olivier Salad,Russian
3,Combine in a bowl with peas and diced chicken.,Olivier Salad,Russian
4,Mix thoroughly with mayonnaise.,Olivier Salad,Russian
5,Chill before serving.,Olivier Salad,Russian
1,Sauté onions and carrots in a pot.,Shchi,Russian
2,Add meat (beef or pork) and sauté until browned.,Shchi,Russian
3,Add water and bring to a boil.,Shchi,Russian
4,"Add chopped cabbage and potatoes, simmer until all ingredients are tender.",Shchi,Russian
5,"Season with salt, pepper, and herbs before serving.",Shchi,Russian
6,Serve with a dollop of sour cream.,Shchi,Russian
1,"Heat oil in a large pot and sauté onions, carrots, and beets.",Borscht,Ukrainian
2,Add beef stock and bring to a boil.,Borscht,Ukrainian
3,Add sliced potatoes and cook until tender.,Borscht,Ukrainian
4,Add shredded cabbage and cook for another 10 minutes.,Borscht,Ukrainian
5,"Season with vinegar, sugar, salt, and pepper.",Borscht,Ukrainian
6,Serve hot with a dollop of sour cream and dill.,Borscht,Ukrainian
1,"Mix farmer's cheese, eggs, flour, sugar, and vanilla extract to form a thick batter.",Syrniki,Ukrainian
2,Heat oil in a skillet over medium heat.,Syrniki,Ukrainian
3,Form small patties from the batter and fry until golden brown on both sides.,Syrniki,Ukrainian
4,Serve warm with sour cream or your favorite preserves.,Syrniki,Ukrainian
1,"Prepare the dough by mixing flour, water, and a pinch of salt.",Varenyky,Ukrainian
2,Roll out the dough and cut into circles.,Varenyky,Ukrainian
3,Place a spoonful of filling on each dough circle.,Varenyky,Ukrainian
4,Fold the dough over and seal the edges tightly.,Varenyky,Ukrainian
5,"Boil in salted water until they rise to the surface, then remove with a slotted spoon.",Varenyky,Ukrainian
6,"Serve hot with melted butter, sautéed onions, or sour cream.",Varenyky,Ukrainian
1,Grate potatoes and onions and squeeze out excess moisture.,Deruny,Ukrainian
2,"Mix with eggs, flour, salt, and pepper.",Deruny,Ukrainian
3,Heat oil in a skillet over medium-high heat.,Deruny,Ukrainian
4,Spoon potato mixture into the skillet and flatten to form pancakes.,Deruny,Ukrainian
5,Fry until crispy and golden on both sides.,Deruny,Ukrainian
6,Serve hot with sour cream or apple sauce.,Deruny,Ukrainian
1,Blanch cabbage leaves until soft enough to roll.,Holubtsi,Ukrainian
2,"Mix ground meat, rice, onion, and spices.",Holubtsi,Ukrainian
3,Place a portion of the meat mixture on each cabbage leaf and roll tightly.,Holubtsi,Ukrainian
4,Arrange rolls in a baking dish and cover with tomato sauce.,Holubtsi,Ukrainian
5,Bake in a preheated oven at 350°F for 2 hours.,Holubtsi,Ukrainian
6,Serve hot.,Holubtsi,Ukrainian
1,Heat water and sour cream in a pot until boiling.,Banosh,Ukrainian
2,Gradually whisk in cornmeal until the mixture thickens.,Banosh,Ukrainian
3,"Cook over low heat, stirring constantly, until porridge is creamy.",Banosh,Ukrainian
4,Top with pork cracklings and shredded cheese before serving.,Banosh,Ukrainian
1,Prepare yeast dough and let it rise until doubled.,Pampushky,Ukrainian
2,Form dough into small balls and let rise again.,Pampushky,Ukrainian
3,Fry in deep oil until golden brown.,Pampushky,Ukrainian
4,Roll in sugar or fill with jam after cooling slightly.,Pampushky,Ukrainian
1,Brown sausage or pork in a pot.,Kapusniak,Ukrainian
2,"Add chopped onions, carrots, and potatoes, and sauté until soft.",Kapusniak,Ukrainian
3,"Add shredded sour cabbage and water, bring to a boil.",Kapusniak,Ukrainian
4,Simmer for at least 1.5 hours until all flavors meld.,Kapusniak,Ukrainian
5,"Season with salt, pepper, and bay leaves.",Kapusniak,Ukrainian
6,Serve hot with a spoonful of sour cream.,Kapusniak,Ukrainian
1,"Soak wheat berries overnight, then boil until tender.",Kutia,Ukrainian
2,"Mix boiled wheat with honey, poppy seeds, and chopped nuts.",Kutia,Ukrainian
3,Serve cold as part of a traditional Christmas Eve supper.,Kutia,Ukrainian
1,Prepare thin crepe batter and cook crepes in a non-stick skillet.,Nalysnyky,Ukrainian
2,Mix cottage cheese with eggs and herbs for filling.,Nalysnyky,Ukrainian
3,"Fill each crepe with the cheese mixture, roll tightly.",Nalysnyky,Ukrainian
4,"Optionally, place rolled crepes in a baking dish, cover with cream sauce, and bake.",Nalysnyky,Ukrainian
5,Serve hot.,Nalysnyky,Ukrainian
