"recipe_name","recipe_cuisine_name","chef_id"
"Përime në zgare","Korean",46
"Banitsa","Korean",46
"Pryaniki","Korean",46
"Përime në zgare","Korean",49
"Banitsa","Korean",49
"Pryaniki","Korean",49
"Përime në zgare","Korean",55
"Banitsa","Korean",55
"Pryaniki","Korean",55
"Përime në zgare","Korean",56
"Banitsa","Korean",56
"Pryaniki","Korean",56
"Përime në zgare","Korean",59
"Banitsa","Korean",59
"Pryaniki","Korean",59
"Përime në zgare","Korean",66
"Banitsa","Korean",66
"Pryaniki","Korean",66
"Përime në zgare","Korean",68
"Banitsa","Korean",68
"Pryaniki","Korean",68
"Përime në zgare","Korean",81
"Banitsa","Korean",81
"Pryaniki","Korean",81
"Përime në zgare","Korean",88
"Banitsa","Korean",88
"Pryaniki","Korean",88
"Përime në zgare","Korean",89
"Banitsa","Korean",89
"Pryaniki","Korean",89
"Fërgesë","Indian",5
"Chocolate Chip Cookies","Indian",5
"Beef Stroganoff","Indian",5
"Fërgesë","Indian",6
"Chocolate Chip Cookies","Indian",6
"Beef Stroganoff","Indian",6
"Fërgesë","Indian",10
"Chocolate Chip Cookies","Indian",10
"Beef Stroganoff","Indian",10
"Fërgesë","Indian",19
"Chocolate Chip Cookies","Indian",19
"Beef Stroganoff","Indian",19
"Fërgesë","Indian",42
"Chocolate Chip Cookies","Indian",42
"Beef Stroganoff","Indian",42
"Fërgesë","Indian",50
"Chocolate Chip Cookies","Indian",50
"Beef Stroganoff","Indian",50
"Fërgesë","Indian",53
"Chocolate Chip Cookies","Indian",53
"Beef Stroganoff","Indian",53
"Fërgesë","Indian",55
"Chocolate Chip Cookies","Indian",55
"Beef Stroganoff","Indian",55
"Fërgesë","Indian",67
"Chocolate Chip Cookies","Indian",67
"Beef Stroganoff","Indian",67
"Fërgesë","Indian",69
"Chocolate Chip Cookies","Indian",69
"Beef Stroganoff","Indian",69
"Fërgesë","Indian",70
"Chocolate Chip Cookies","Indian",70
"Beef Stroganoff","Indian",70
"Fërgesë","Indian",81
"Chocolate Chip Cookies","Indian",81
"Beef Stroganoff","Indian",81
"Fërgesë","Indian",83
"Chocolate Chip Cookies","Indian",83
"Beef Stroganoff","Indian",83
"Fërgesë","Indian",84
"Chocolate Chip Cookies","Indian",84
"Beef Stroganoff","Indian",84
"Tavë Kosi","Greek",6
"Barbecue Ribs","Greek",6
"Garash Cake","Greek",6
"Tavë Kosi","Greek",8
"Barbecue Ribs","Greek",8
"Garash Cake","Greek",8
"Tavë Kosi","Greek",10
"Barbecue Ribs","Greek",10
"Garash Cake","Greek",10
"Tavë Kosi","Greek",24
"Barbecue Ribs","Greek",24
"Garash Cake","Greek",24
"Tavë Kosi","Greek",28
"Barbecue Ribs","Greek",28
"Garash Cake","Greek",28
"Tavë Kosi","Greek",37
"Barbecue Ribs","Greek",37
"Garash Cake","Greek",37
"Tavë Kosi","Greek",58
"Barbecue Ribs","Greek",58
"Garash Cake","Greek",58
"Tavë Kosi","Greek",60
"Barbecue Ribs","Greek",60
"Garash Cake","Greek",60
"Tavë Kosi","Greek",76
"Barbecue Ribs","Greek",76
"Garash Cake","Greek",76
"Tavë Kosi","Greek",79
"Barbecue Ribs","Greek",79
"Garash Cake","Greek",79
"Tavë Kosi","Greek",86
"Barbecue Ribs","Greek",86
"Garash Cake","Greek",86
"Tavë Kosi","Greek",91
"Barbecue Ribs","Greek",91
"Garash Cake","Greek",91
"Tavë Kosi","Greek",92
"Barbecue Ribs","Greek",92
"Garash Cake","Greek",92
"Tavë Kosi","Greek",99
"Barbecue Ribs","Greek",99
"Garash Cake","Greek",99
"Cheeseburger","Albanian",6
"Musaka","Albanian",6
"Olivier Salad","Albanian",6
"Cheeseburger","Albanian",7
"Musaka","Albanian",7
"Olivier Salad","Albanian",7
"Cheeseburger","Albanian",19
"Musaka","Albanian",19
"Olivier Salad","Albanian",19
"Cheeseburger","Albanian",20
"Musaka","Albanian",20
"Olivier Salad","Albanian",20
"Cheeseburger","Albanian",25
"Musaka","Albanian",25
"Olivier Salad","Albanian",25
"Cheeseburger","Albanian",30
"Musaka","Albanian",30
"Olivier Salad","Albanian",30
"Cheeseburger","Albanian",38
"Musaka","Albanian",38
"Olivier Salad","Albanian",38
"Cheeseburger","Albanian",42
"Musaka","Albanian",42
"Olivier Salad","Albanian",42
"Cheeseburger","Albanian",45
"Musaka","Albanian",45
"Olivier Salad","Albanian",45
"Cheeseburger","Albanian",52
"Musaka","Albanian",52
"Olivier Salad","Albanian",52
"Cheeseburger","Albanian",68
"Musaka","Albanian",68
"Olivier Salad","Albanian",68
"Cheeseburger","Albanian",72
"Musaka","Albanian",72
"Olivier Salad","Albanian",72
"Cheeseburger","Albanian",73
"Musaka","Albanian",73
"Olivier Salad","Albanian",73
"Cheeseburger","Albanian",90
"Musaka","Albanian",90
"Olivier Salad","Albanian",90
"Cheeseburger","Albanian",97
"Musaka","Albanian",97
"Olivier Salad","Albanian",97
"Bakllasarem","French",11
"Pancakes","French",11
"Sarmi","French",11
"Bakllasarem","French",38
"Pancakes","French",38
"Sarmi","French",38
"Bakllasarem","French",40
"Pancakes","French",40
"Sarmi","French",40
"Bakllasarem","French",42
"Pancakes","French",42
"Sarmi","French",42
"Bakllasarem","French",45
"Pancakes","French",45
"Sarmi","French",45
"Bakllasarem","French",47
"Pancakes","French",47
"Sarmi","French",47
"Bakllasarem","French",55
"Pancakes","French",55
"Sarmi","French",55
"Bakllasarem","French",57
"Pancakes","French",57
"Sarmi","French",57
"Bakllasarem","French",63
"Pancakes","French",63
"Sarmi","French",63
"Bakllasarem","French",64
"Pancakes","French",64
"Sarmi","French",64
"Bakllasarem","French",71
"Pancakes","French",71
"Sarmi","French",71
"Bakllasarem","French",77
"Pancakes","French",77
"Sarmi","French",77
"Bakllasarem","French",82
"Pancakes","French",82
"Sarmi","French",82
"Bakllasarem","French",90
"Pancakes","French",90
"Sarmi","French",90
"Bakllasarem","French",93
"Pancakes","French",93
"Sarmi","French",93
"Bakllasarem","French",98
"Pancakes","French",98
"Sarmi","French",98
"Apple Pie","American",14
"Tarator","American",14
"Shchi","American",14
"Apple Pie","American",17
"Tarator","American",17
"Shchi","American",17
"Apple Pie","American",18
"Tarator","American",18
"Shchi","American",18
"Apple Pie","American",22
"Tarator","American",22
"Shchi","American",22
"Apple Pie","American",24
"Tarator","American",24
"Shchi","American",24
"Apple Pie","American",34
"Tarator","American",34
"Shchi","American",34
"Apple Pie","American",39
"Tarator","American",39
"Shchi","American",39
"Apple Pie","American",46
"Tarator","American",46
"Shchi","American",46
"Apple Pie","American",51
"Tarator","American",51
"Shchi","American",51
"Apple Pie","American",53
"Tarator","American",53
"Shchi","American",53
"Apple Pie","American",54
"Tarator","American",54
"Shchi","American",54
"Apple Pie","American",59
"Tarator","American",59
"Shchi","American",59
"Apple Pie","American",60
"Tarator","American",60
"Shchi","American",60
"Apple Pie","American",72
"Tarator","American",72
"Shchi","American",72
"Apple Pie","American",74
"Tarator","American",74
"Shchi","American",74
"Apple Pie","American",95
"Tarator","American",95
"Shchi","American",95
"Apple Pie","American",99
"Tarator","American",99
"Shchi","American",99
"Qifqi","German",16
"Kavarma","German",16
"Kasha","German",16
"Qifqi","German",23
"Kavarma","German",23
"Kasha","German",23
"Qifqi","German",44
"Kavarma","German",44
"Kasha","German",44
"Qifqi","German",48
"Kavarma","German",48
"Kasha","German",48
"Qifqi","German",56
"Kavarma","German",56
"Kasha","German",56
"Qifqi","German",62
"Kavarma","German",62
"Kasha","German",62
"Qifqi","German",73
"Kavarma","German",73
"Kasha","German",73
"Qifqi","German",84
"Kavarma","German",84
"Kasha","German",84
"Qifqi","German",97
"Kavarma","German",97
"Kasha","German",97
"Jani me fasule","Chinese",16
"Brownies","Chinese",16
"Pelmeni","Chinese",16
"Jani me fasule","Chinese",17
"Brownies","Chinese",17
"Pelmeni","Chinese",17
"Jani me fasule","Chinese",19
"Brownies","Chinese",19
"Pelmeni","Chinese",19
"Jani me fasule","Chinese",21
"Brownies","Chinese",21
"Pelmeni","Chinese",21
"Jani me fasule","Chinese",31
"Brownies","Chinese",31
"Pelmeni","Chinese",31
"Jani me fasule","Chinese",50
"Brownies","Chinese",50
"Pelmeni","Chinese",50
"Jani me fasule","Chinese",58
"Brownies","Chinese",58
"Pelmeni","Chinese",58
"Jani me fasule","Chinese",63
"Brownies","Chinese",63
"Pelmeni","Chinese",63
"Jani me fasule","Chinese",75
"Brownies","Chinese",75
"Pelmeni","Chinese",75
"Jani me fasule","Chinese",79
"Brownies","Chinese",79
"Pelmeni","Chinese",79
"Jani me fasule","Chinese",81
"Brownies","Chinese",81
"Pelmeni","Chinese",81
"Jani me fasule","Chinese",87
"Brownies","Chinese",87
"Pelmeni","Chinese",87
"Jani me fasule","Chinese",90
"Brownies","Chinese",90
"Pelmeni","Chinese",90
"Jani me fasule","Chinese",95
"Brownies","Chinese",95
"Pelmeni","Chinese",95
"Shëndetli","Mexican",18
"Shopska Salata","Mexican",18
"Syrniki","Mexican",18
"Shëndetli","Mexican",20
"Shopska Salata","Mexican",20
"Syrniki","Mexican",20
"Shëndetli","Mexican",25
"Shopska Salata","Mexican",25
"Syrniki","Mexican",25
"Shëndetli","Mexican",34
"Shopska Salata","Mexican",34
"Syrniki","Mexican",34
"Shëndetli","Mexican",35
"Shopska Salata","Mexican",35
"Syrniki","Mexican",35
"Shëndetli","Mexican",37
"Shopska Salata","Mexican",37
"Syrniki","Mexican",37
"Shëndetli","Mexican",41
"Shopska Salata","Mexican",41
"Syrniki","Mexican",41
"Shëndetli","Mexican",50
"Shopska Salata","Mexican",50
"Syrniki","Mexican",50
"Shëndetli","Mexican",66
"Shopska Salata","Mexican",66
"Syrniki","Mexican",66
"Shëndetli","Mexican",69
"Shopska Salata","Mexican",69
"Syrniki","Mexican",69
"Shëndetli","Mexican",100
"Shopska Salata","Mexican",100
"Syrniki","Mexican",100
"Fried Chicken","Bulgarian",26
"Kadaif","Bulgarian",26
"Fried Chicken","Bulgarian",45
"Kadaif","Bulgarian",45
"Fried Chicken","Bulgarian",51
"Kadaif","Bulgarian",51
"Fried Chicken","Bulgarian",65
"Kadaif","Bulgarian",65
"Fried Chicken","Bulgarian",67
"Kadaif","Bulgarian",67
"Fried Chicken","Bulgarian",94
"Kadaif","Bulgarian",94
"Fried Chicken","Bulgarian",96
"Kadaif","Bulgarian",96
